application,algorithm,bw_level,ipath_0,ipath_1,task_count,power_cap,runtime,thread_count,year
CoMD,pak,1,2,0,4096,64,54.4034,24,2017
CoMD,pak,1,2,0,4096,80,46.5075,24,2017
CoMD,pak,1,2,0,4096,115,42.4216,24,2017
CoMD,pak,1,2,0,2048,64,41.7099,16,2017
CoMD,pak,1,2,0,2048,64,47.5113,20,2017
CoMD,pak,1,2,0,2048,64,53.0328,24,2017
CoMD,pak,1,2,0,2048,80,38.9581,16,2017
CoMD,pak,1,2,0,2048,80,42.638,20,2017
CoMD,pak,1,2,0,2048,80,44.8226,24,2017
CoMD,pak,1,2,0,2048,115,37.19,16,2017
CoMD,pak,1,2,0,2048,115,40.7372,20,2017
CoMD,pak,1,2,0,2048,115,42.544,24,2017
CoMD,pak,1,2,0,1024,64,39.2341,16,2017
CoMD,pak,1,2,0,1024,64,44.3378,20,2017
CoMD,pak,1,2,0,1024,64,49.6902,24,2017
CoMD,pak,1,2,0,1024,80,36.1795,16,2017
CoMD,pak,1,2,0,1024,80,39.0518,20,2017
CoMD,pak,1,2,0,1024,80,43.3831,24,2017
CoMD,pak,1,2,0,1024,115,36.7162,16,2017
CoMD,pak,1,2,0,1024,115,39.2091,20,2017
CoMD,pak,1,2,0,1024,115,40.5269,24,2017
CoMD,pak,1,2,0,512,64,35.8287,16,2017
CoMD,pak,1,2,0,512,64,43.5869,20,2017
CoMD,pak,1,2,0,512,64,47.3946,24,2017
CoMD,pak,1,2,0,512,80,34.0391,16,2017
CoMD,pak,1,2,0,512,80,38.3182,20,2017
CoMD,pak,1,2,0,512,80,40.7837,24,2017
CoMD,pak,1,2,0,512,115,34.8292,16,2017
CoMD,pak,1,2,0,512,115,39.8226,20,2017
CoMD,pak,1,2,0,512,115,39.261,24,2017
CoMD,pak,2,1,0,4096,64,52.7167,24,2017
CoMD,pak,2,1,0,4096,80,45.4208,24,2017
CoMD,pak,2,1,0,4096,115,42.0062,24,2017
CoMD,pak,2,1,0,2048,64,40.9394,16,2017
CoMD,pak,2,1,0,2048,64,46.438,20,2017
CoMD,pak,2,1,0,2048,64,52.0963,24,2017
CoMD,pak,2,1,0,2048,80,37.7471,16,2017
CoMD,pak,2,1,0,2048,80,41.232,20,2017
CoMD,pak,2,1,0,2048,80,45.3754,24,2017
CoMD,pak,2,1,0,2048,115,38.0957,16,2017
CoMD,pak,2,1,0,2048,115,41.2628,20,2017
CoMD,pak,2,1,0,2048,115,41.1025,24,2017
CoMD,pak,2,1,0,1024,64,38.9423,16,2017
CoMD,pak,2,1,0,1024,64,43.6901,20,2017
CoMD,pak,2,1,0,1024,64,50.3129,24,2017
CoMD,pak,2,1,0,1024,80,37.6545,16,2017
CoMD,pak,2,1,0,1024,80,38.9458,20,2017
CoMD,pak,2,1,0,1024,80,42.3984,24,2017
CoMD,pak,2,1,0,1024,115,37.1682,16,2017
CoMD,pak,2,1,0,1024,115,38.7537,20,2017
CoMD,pak,2,1,0,1024,115,39.8196,24,2017
CoMD,pak,2,1,0,512,64,37.8492,16,2017
CoMD,pak,2,1,0,512,64,42.8861,20,2017
CoMD,pak,2,1,0,512,64,48.1787,24,2017
CoMD,pak,2,1,0,512,80,34.6894,16,2017
CoMD,pak,2,1,0,512,80,39.2629,20,2017
CoMD,pak,2,1,0,512,80,40.9296,24,2017
CoMD,pak,2,1,0,512,115,35.4795,16,2017
CoMD,pak,2,1,0,512,115,39.8446,20,2017
CoMD,pak,2,1,0,512,115,39.7869,24,2017
