algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
pak,amr,3,0,0,1024,115,19.166615,16,31.61108201,12.44446701
rand,amr,3,0,0,1024,115,21.435721,16,39.2050419,17.769320899999997
spr,amr,3,0,0,1024,115,19.829775,16,33.25070623762377,13.420931237623765
pak,amr,4,0,1,1024,115,18.208409,16,31.61108201,13.40267301
rand,amr,4,0,1,1024,115,18.414487,16,39.2050419,20.790554899999997
spr,amr,4,0,1,1024,115,18.642451,16,33.25070623762377,14.608255237623766
pak,amr,5,0,2,1024,115,18.088542,16,31.61108201,13.52254001
rand,amr,5,0,2,1024,115,18.333897,16,39.2050419,20.871144899999997
spr,amr,5,0,2,1024,115,18.602113,16,33.25070623762377,14.648593237623768
pak,amr,2,1,0,1024,115,23.148787,16,31.61108201,8.462295010000002
rand,amr,2,1,0,1024,115,29.211005,16,39.2050419,9.994036899999998
spr,amr,2,1,0,1024,115,23.792556,16,33.25070623762377,9.458150237623766
pak,amr,1,2,0,1024,115,26.260273,16,31.61108201,5.350809009999999
rand,amr,1,2,0,1024,115,58.01635,16,39.2050419,18.811308100000005
spr,amr,1,2,0,1024,115,38.185979,16,33.25070623762377,4.935272762376236
pak,amr,3,0,0,1024,64,19.952118,16,31.61108201,11.658964010000002
rand,amr,3,0,0,1024,64,22.376354,16,39.2050419,16.8286879
spr,amr,3,0,0,1024,64,20.742239,16,33.25070623762377,12.508467237623766
pak,amr,4,0,1,1024,64,19.229608,16,31.61108201,12.381474010000002
rand,amr,4,0,1,1024,64,19.15169,16,39.2050419,20.0533519
spr,amr,4,0,1,1024,64,19.389987,16,33.25070623762377,13.860719237623766
pak,amr,5,0,2,1024,64,19.222309,16,31.61108201,12.388773010000001
rand,amr,5,0,2,1024,64,19.137164,16,39.2050419,20.0678779
spr,amr,5,0,2,1024,64,19.580916,16,33.25070623762377,13.669790237623769
pak,amr,2,1,0,1024,64,24.241972,16,31.61108201,7.36911001
rand,amr,2,1,0,1024,64,29.971552,16,39.2050419,9.233489899999999
spr,amr,2,1,0,1024,64,24.74149,16,33.25070623762377,8.509216237623768
pak,amr,1,2,0,1024,64,26.897351,16,31.61108201,4.71373101
rand,amr,1,2,0,1024,64,63.166172,16,39.2050419,23.961130100000005
spr,amr,1,2,0,1024,64,37.000997,16,33.25070623762377,3.750290762376231
pak,amr,3,0,0,1024,80,19.115038,16,31.61108201,12.496044010000002
rand,amr,3,0,0,1024,80,20.690467,16,39.2050419,18.514574899999996
spr,amr,3,0,0,1024,80,19.932133,16,33.25070623762377,13.318573237623767
pak,amr,4,0,1,1024,80,18.049316,16,31.61108201,13.56176601
rand,amr,4,0,1,1024,80,18.292256,16,39.2050419,20.9127859
spr,amr,4,0,1,1024,80,18.667027,16,33.25070623762377,14.583679237623766
pak,amr,5,0,2,1024,80,18.307009,16,31.61108201,13.30407301
rand,amr,5,0,2,1024,80,17.915701,16,39.2050419,21.2893409
spr,amr,5,0,2,1024,80,18.554638,16,33.25070623762377,14.696068237623766
pak,amr,2,1,0,1024,80,23.149841,16,31.61108201,8.461241010000002
rand,amr,2,1,0,1024,80,26.877236,16,39.2050419,12.327805899999998
spr,amr,2,1,0,1024,80,23.745256,16,33.25070623762377,9.505450237623766
pak,amr,1,2,0,1024,80,26.263266,16,31.61108201,5.347816009999999
rand,amr,1,2,0,1024,80,52.876797,16,39.2050419,13.671755100000006
spr,amr,1,2,0,1024,80,35.919106,16,33.25070623762377,2.6683997623762323
pak,amr,3,0,0,1024,115,25.59238,20,31.61108201,6.018702010000002
rand,amr,3,0,0,1024,115,30.846757,20,39.2050419,8.358284899999997
spr,amr,3,0,0,1024,115,29.016918,20,33.25070623762377,4.2337882376237665
pak,amr,4,0,1,1024,115,25.328406,20,31.61108201,6.282676009999999
rand,amr,4,0,1,1024,115,25.360067,20,39.2050419,13.844974899999997
spr,amr,4,0,1,1024,115,24.92399,20,33.25070623762377,8.326716237623767
pak,amr,5,0,2,1024,115,24.860136,20,31.61108201,6.75094601
rand,amr,5,0,2,1024,115,24.829715,20,39.2050419,14.375326899999997
spr,amr,5,0,2,1024,115,24.985161,20,33.25070623762377,8.265545237623765
pak,amr,2,1,0,1024,115,28.770043,20,31.61108201,2.8410390099999994
rand,amr,2,1,0,1024,115,42.239672,20,39.2050419,3.034630100000001
spr,amr,2,1,0,1024,115,36.18398,20,33.25070623762377,2.9332737623762313
pak,amr,1,2,0,1024,115,30.974489,20,31.61108201,0.6365930100000021
rand,amr,1,2,0,1024,115,78.425741,20,39.2050419,39.220699100000004
spr,amr,1,2,0,1024,115,51.123886,20,33.25070623762377,17.873179762376232
pak,amr,3,0,0,1024,64,27.363653,20,31.61108201,4.247429010000001
rand,amr,3,0,0,1024,64,31.529764,20,39.2050419,7.6752778999999975
spr,amr,3,0,0,1024,64,30.408392,20,33.25070623762377,2.842314237623768
pak,amr,4,0,1,1024,64,26.859601,20,31.61108201,4.751481009999999
rand,amr,4,0,1,1024,64,28.356926,20,39.2050419,10.848115899999996
spr,amr,4,0,1,1024,64,26.957506,20,33.25070623762377,6.293200237623768
pak,amr,5,0,2,1024,64,26.887887,20,31.61108201,4.723195010000001
rand,amr,5,0,2,1024,64,27.479674,20,39.2050419,11.725367899999998
spr,amr,5,0,2,1024,64,26.724109,20,33.25070623762377,6.526597237623768
pak,amr,2,1,0,1024,64,30.43959,20,31.61108201,1.1714920100000015
rand,amr,2,1,0,1024,64,42.192848,20,39.2050419,2.9878061000000002
spr,amr,2,1,0,1024,64,38.252565,20,33.25070623762377,5.00185876237623
pak,amr,1,2,0,1024,64,32.464688,20,31.61108201,0.8536059900000019
rand,amr,1,2,0,1024,64,86.993731,20,39.2050419,47.7886891
spr,amr,1,2,0,1024,64,52.918376,20,33.25070623762377,19.667669762376235
pak,amr,3,0,0,1024,80,26.301434,20,31.61108201,5.30964801
rand,amr,3,0,0,1024,80,30.777476,20,39.2050419,8.427565899999998
spr,amr,3,0,0,1024,80,29.316828,20,33.25070623762377,3.933878237623766
pak,amr,4,0,1,1024,80,25.069587,20,31.61108201,6.541495010000002
rand,amr,4,0,1,1024,80,25.455073,20,39.2050419,13.749968899999999
spr,amr,4,0,1,1024,80,25.310039,20,33.25070623762377,7.940667237623767
pak,amr,5,0,2,1024,80,25.439382,20,31.61108201,6.171700010000002
rand,amr,5,0,2,1024,80,25.190724,20,39.2050419,14.014317899999998
spr,amr,5,0,2,1024,80,25.169174,20,33.25070623762377,8.081532237623765
pak,amr,2,1,0,1024,80,29.335252,20,31.61108201,2.27583001
rand,amr,2,1,0,1024,80,45.635948,20,39.2050419,6.430906100000001
spr,amr,2,1,0,1024,80,36.950135,20,33.25070623762377,3.699428762376236
pak,amr,1,2,0,1024,80,31.294239,20,31.61108201,0.3168430099999995
rand,amr,1,2,0,1024,80,75.901117,20,39.2050419,36.6960751
spr,amr,1,2,0,1024,80,51.798124,20,33.25070623762377,18.547417762376234
pak,amr,3,0,0,1024,115,24.782244,24,31.61108201,6.828838010000002
rand,amr,3,0,0,1024,115,29.622614,24,39.2050419,9.582427899999999
spr,amr,3,0,0,1024,115,26.459719,24,33.25070623762377,6.790987237623767
pak,amr,4,0,1,1024,115,24.147812,24,31.61108201,7.463270010000002
rand,amr,4,0,1,1024,115,23.886262,24,39.2050419,15.3187799
spr,amr,4,0,1,1024,115,23.907669,24,33.25070623762377,9.343037237623768
pak,amr,5,0,2,1024,115,23.59863,24,31.61108201,8.01245201
rand,amr,5,0,2,1024,115,23.973956,24,39.2050419,15.231085899999997
spr,amr,5,0,2,1024,115,23.721134,24,33.25070623762377,9.529572237623768
pak,amr,2,1,0,1024,115,26.406626,24,31.61108201,5.204456010000001
rand,amr,2,1,0,1024,115,35.963469,24,39.2050419,3.241572899999994
spr,amr,2,1,0,1024,115,31.643477,24,33.25070623762377,1.6072292376237662
pak,amr,1,2,0,1024,115,27.495005,24,31.61108201,4.1160770100000015
rand,amr,1,2,0,1024,115,58.745723,24,39.2050419,19.5406811
spr,amr,1,2,0,1024,115,36.66405,24,33.25070623762377,3.413343762376236
pak,amr,3,0,0,1024,64,28.698821,24,31.61108201,2.9122610100000017
rand,amr,3,0,0,1024,64,32.659314,24,39.2050419,6.545727899999996
spr,amr,3,0,0,1024,64,29.895194,24,33.25070623762377,3.355512237623767
pak,amr,4,0,1,1024,64,27.656983,24,31.61108201,3.95409901
rand,amr,4,0,1,1024,64,29.002287,24,39.2050419,10.202754899999999
spr,amr,4,0,1,1024,64,28.439986,24,33.25070623762377,4.810720237623766
pak,amr,5,0,2,1024,64,27.972271,24,31.61108201,3.6388110100000013
rand,amr,5,0,2,1024,64,28.844767,24,39.2050419,10.360274899999997
spr,amr,5,0,2,1024,64,28.031521,24,33.25070623762377,5.2191852376237655
pak,amr,2,1,0,1024,64,30.189649,24,31.61108201,1.4214330100000012
