algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,CoMD,1,2,0,512,64,39.4856,16
pak,CoMD,1,2,0,512,64,35.8287,16
rand,CoMD,1,2,0,512,64,41.5681,16
spr,CoMD,2,1,0,512,64,38.4217,16
pak,CoMD,2,1,0,512,64,37.8492,16
rand,CoMD,2,1,0,512,64,39.5879,16
spr,CoMD,3,0,0,512,64,39.6499,16
pak,CoMD,3,0,0,512,64,36.9350,16
rand,CoMD,3,0,0,512,64,39.3345,16
spr,CoMD,4,0,1,512,64,37.0282,16
pak,CoMD,4,0,1,512,64,36.8455,16
rand,CoMD,4,0,1,512,64,39.9155,16
spr,CoMD,5,0,2,512,64,38.6121,16
pak,CoMD,5,0,2,512,64,37.0098,16
rand,CoMD,5,0,2,512,64,38.2594,16
spr,CoMD,1,2,0,512,80,35.7045,16
pak,CoMD,1,2,0,512,80,34.0391,16
rand,CoMD,1,2,0,512,80,35.4028,16
spr,CoMD,2,1,0,512,80,34.8359,16
pak,CoMD,2,1,0,512,80,34.6894,16
rand,CoMD,2,1,0,512,80,37.3806,16
spr,CoMD,3,0,0,512,80,34.7461,16
pak,CoMD,3,0,0,512,80,33.8352,16
rand,CoMD,3,0,0,512,80,34.9554,16
spr,CoMD,4,0,1,512,80,33.9249,16
pak,CoMD,4,0,1,512,80,33.9109,16
rand,CoMD,4,0,1,512,80,33.9146,16
spr,CoMD,5,0,2,512,80,33.5766,16
pak,CoMD,5,0,2,512,80,35.3372,16
rand,CoMD,5,0,2,512,80,35.8816,16
pak,CoMD,1,2,0,512,115,34.8292,16
rand,CoMD,1,2,0,512,115,36.8576,16
spr,CoMD,2,1,0,512,115,36.0956,16
pak,CoMD,2,1,0,512,115,35.4795,16
rand,CoMD,2,1,0,512,115,36.0533,16
spr,CoMD,3,0,0,512,115,34.0974,16
pak,CoMD,3,0,0,512,115,35.8808,16
rand,CoMD,3,0,0,512,115,34.5862,16
spr,CoMD,4,0,1,512,115,35.5614,16
pak,CoMD,4,0,1,512,115,35.0184,16
rand,CoMD,4,0,1,512,115,35.8466,16
spr,CoMD,5,0,2,512,115,34.8220,16
pak,CoMD,5,0,2,512,115,33.4010,16
rand,CoMD,5,0,2,512,115,35.6440,16
spr,CoMD,1,2,0,512,64,46.1885,20
pak,CoMD,1,2,0,512,64,43.5869,20
rand,CoMD,1,2,0,512,64,46.8202,20
spr,CoMD,2,1,0,512,64,44.6563,20
pak,CoMD,2,1,0,512,64,42.8861,20
rand,CoMD,2,1,0,512,64,47.5330,20
spr,CoMD,3,0,0,512,64,45.7244,20
pak,CoMD,3,0,0,512,64,43.1533,20
rand,CoMD,3,0,0,512,64,44.7492,20
spr,CoMD,4,0,1,512,64,44.1048,20
pak,CoMD,4,0,1,512,64,42.6364,20
rand,CoMD,4,0,1,512,64,43.5986,20
spr,CoMD,5,0,2,512,64,45.1758,20
pak,CoMD,5,0,2,512,64,42.8405,20
rand,CoMD,5,0,2,512,64,43.9536,20
spr,CoMD,1,2,0,512,80,39.9190,20
pak,CoMD,1,2,0,512,80,38.3182,20
rand,CoMD,1,2,0,512,80,43.2692,20
spr,CoMD,2,1,0,512,80,39.9100,20
pak,CoMD,2,1,0,512,80,39.2629,20
rand,CoMD,2,1,0,512,80,40.9692,20
spr,CoMD,3,0,0,512,80,40.2167,20
pak,CoMD,3,0,0,512,80,38.2978,20
rand,CoMD,3,0,0,512,80,40.5704,20
spr,CoMD,4,0,1,512,80,37.9400,20
pak,CoMD,4,0,1,512,80,38.2212,20
rand,CoMD,4,0,1,512,80,38.7279,20
spr,CoMD,5,0,2,512,80,38.5330,20
pak,CoMD,5,0,2,512,80,38.2510,20
rand,CoMD,5,0,2,512,80,37.9083,20
spr,CoMD,1,2,0,512,115,40.7640,20
pak,CoMD,1,2,0,512,115,39.8226,20
rand,CoMD,1,2,0,512,115,41.4232,20
spr,CoMD,2,1,0,512,115,41.2631,20
pak,CoMD,2,1,0,512,115,39.8446,20
rand,CoMD,2,1,0,512,115,40.5709,20
spr,CoMD,3,0,0,512,115,39.1163,20
pak,CoMD,3,0,0,512,115,38.1473,20
rand,CoMD,3,0,0,512,115,39.7956,20
spr,CoMD,4,0,1,512,115,38.0234,20
pak,CoMD,4,0,1,512,115,37.3701,20
rand,CoMD,4,0,1,512,115,37.3837,20
spr,CoMD,5,0,2,512,115,37.9654,20
pak,CoMD,5,0,2,512,115,37.7893,20
rand,CoMD,5,0,2,512,115,37.7376,20
spr,CoMD,1,2,0,512,64,51.3931,24
pak,CoMD,1,2,0,512,64,47.3946,24
rand,CoMD,1,2,0,512,64,53.8891,24
spr,CoMD,2,1,0,512,64,51.3236,24
pak,CoMD,2,1,0,512,64,48.1787,24
rand,CoMD,2,1,0,512,64,50.5937,24
spr,CoMD,3,0,0,512,64,50.1271,24
pak,CoMD,3,0,0,512,64,47.6891,24
rand,CoMD,3,0,0,512,64,50.2685,24
spr,CoMD,4,0,1,512,64,49.3084,24
pak,CoMD,4,0,1,512,64,47.3286,24
rand,CoMD,4,0,1,512,64,48.6047,24
spr,CoMD,5,0,2,512,64,49.8253,24
pak,CoMD,5,0,2,512,64,48.3123,24
rand,CoMD,5,0,2,512,64,49.1782,24
spr,CoMD,1,2,0,512,80,44.5447,24
pak,CoMD,1,2,0,512,80,40.7837,24
rand,CoMD,1,2,0,512,80,45.9374,24
spr,CoMD,2,1,0,512,80,43.3705,24
pak,CoMD,2,1,0,512,80,40.9296,24
rand,CoMD,2,1,0,512,80,43.5659,24
spr,CoMD,3,0,0,512,80,43.1641,24
pak,CoMD,3,0,0,512,80,41.2325,24
rand,CoMD,3,0,0,512,80,43.6065,24
spr,CoMD,4,0,1,512,80,41.1781,24
pak,CoMD,4,0,1,512,80,41.2599,24
rand,CoMD,4,0,1,512,80,42.0794,24
spr,CoMD,5,0,2,512,80,41.8364,24
pak,CoMD,5,0,2,512,80,41.3121,24
rand,CoMD,5,0,2,512,80,41.1514,24
spr,CoMD,1,2,0,512,115,42.0730,24
pak,CoMD,1,2,0,512,115,39.2610,24
rand,CoMD,1,2,0,512,115,44.6940,24
spr,CoMD,2,1,0,512,115,42.1447,24
pak,CoMD,2,1,0,512,115,39.7869,24
rand,CoMD,2,1,0,512,115,42.6796,24
spr,CoMD,3,0,0,512,115,40.8211,24
pak,CoMD,3,0,0,512,115,39.1388,24
rand,CoMD,3,0,0,512,115,40.5600,24
spr,CoMD,4,0,1,512,115,39.2648,24
pak,CoMD,4,0,1,512,115,38.4736,24
rand,CoMD,4,0,1,512,115,39.4218,24
spr,CoMD,5,0,2,512,115,39.7904,24
pak,CoMD,5,0,2,512,115,39.3817,24
rand,CoMD,5,0,2,512,115,39.3005,24
rand,CoMD,1,2,0,512,64,40.5446,16
rand,CoMD,2,1,0,512,64,38.3002,16
