algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
spr,ft,1,2,0,512,64,61.58,16,32.6551677852349,28.924832214765097
pak,ft,1,2,0,512,64,47.44,16,31.009933333333333,16.430066666666665
rand,ft,1,2,0,512,64,62.27,16,36.87811764705882,25.39188235294118
spr,ft,2,1,0,512,64,56.43,16,32.6551677852349,23.774832214765098
pak,ft,2,1,0,512,64,47.04,16,31.009933333333333,16.030066666666666
rand,ft,2,1,0,512,64,59.64,16,36.87811764705882,22.76188235294118
spr,ft,3,0,0,512,64,49.05,16,32.6551677852349,16.394832214765096
pak,ft,3,0,0,512,64,46.05,16,31.009933333333333,15.040066666666664
rand,ft,3,0,0,512,64,51.5,16,36.87811764705882,14.621882352941178
spr,ft,4,0,1,512,64,41.29,16,32.6551677852349,8.634832214765098
pak,ft,4,0,1,512,64,42.38,16,31.009933333333333,11.37006666666667
rand,ft,4,0,1,512,64,42.46,16,36.87811764705882,5.581882352941179
spr,ft,5,0,2,512,64,41.48,16,32.6551677852349,8.824832214765095
pak,ft,5,0,2,512,64,41.76,16,31.009933333333333,10.750066666666665
rand,ft,5,0,2,512,64,43.97,16,36.87811764705882,7.091882352941177
spr,ft,1,2,0,512,80,57.76,16,32.6551677852349,25.104832214765096
pak,ft,1,2,0,512,80,43.42,16,31.009933333333333,12.410066666666669
rand,ft,1,2,0,512,80,57.25,16,36.87811764705882,20.371882352941178
spr,ft,2,1,0,512,80,51.99,16,32.6551677852349,19.3348322147651
pak,ft,2,1,0,512,80,43.56,16,31.009933333333333,12.55006666666667
rand,ft,2,1,0,512,80,56.51,16,36.87811764705882,19.631882352941176
spr,ft,3,0,0,512,80,44.77,16,32.6551677852349,12.114832214765102
pak,ft,3,0,0,512,80,42.48,16,31.009933333333333,11.470066666666664
rand,ft,3,0,0,512,80,45.25,16,36.87811764705882,8.371882352941178
spr,ft,4,0,1,512,80,36.62,16,32.6551677852349,3.964832214765096
pak,ft,4,0,1,512,80,38.5,16,31.009933333333333,7.490066666666667
rand,ft,4,0,1,512,80,35.27,16,36.87811764705882,1.608117647058819
spr,ft,5,0,2,512,80,36.49,16,32.6551677852349,3.8348322147651004
pak,ft,5,0,2,512,80,37.73,16,31.009933333333333,6.720066666666664
rand,ft,5,0,2,512,80,38.07,16,36.87811764705882,1.1918823529411782
pak,ft,1,2,0,512,115,43.1,16,31.009933333333333,12.090066666666669
rand,ft,1,2,0,512,115,56.87,16,36.87811764705882,19.991882352941175
spr,ft,2,1,0,512,115,51.26,16,32.6551677852349,18.604832214765096
pak,ft,2,1,0,512,115,43.46,16,31.009933333333333,12.450066666666668
rand,ft,2,1,0,512,115,53.99,16,36.87811764705882,17.11188235294118
spr,ft,3,0,0,512,115,43.69,16,32.6551677852349,11.034832214765096
pak,ft,3,0,0,512,115,42.11,16,31.009933333333333,11.100066666666667
rand,ft,3,0,0,512,115,45.11,16,36.87811764705882,8.231882352941177
spr,ft,4,0,1,512,115,35.18,16,32.6551677852349,2.524832214765098
pak,ft,4,0,1,512,115,38.08,16,31.009933333333333,7.070066666666666
rand,ft,4,0,1,512,115,37.06,16,36.87811764705882,0.18188235294118016
spr,ft,5,0,2,512,115,35.14,16,32.6551677852349,2.484832214765099
pak,ft,5,0,2,512,115,37.41,16,31.009933333333333,6.400066666666664
rand,ft,5,0,2,512,115,36.86,16,36.87811764705882,0.018117647058822683
spr,ft,1,2,0,512,64,77.5,20,32.6551677852349,44.8448322147651
pak,ft,1,2,0,512,64,60.6,20,31.009933333333333,29.59006666666667
rand,ft,1,2,0,512,64,79.76,20,36.87811764705882,42.88188235294118
spr,ft,2,1,0,512,64,65.42,20,32.6551677852349,32.7648322147651
pak,ft,2,1,0,512,64,58.79,20,31.009933333333333,27.780066666666666
rand,ft,2,1,0,512,64,67.19,20,36.87811764705882,30.311882352941176
spr,ft,3,0,0,512,64,56.13,20,32.6551677852349,23.4748322147651
pak,ft,3,0,0,512,64,54.95,20,31.009933333333333,23.94006666666667
rand,ft,3,0,0,512,64,58.67,20,36.87811764705882,21.79188235294118
spr,ft,4,0,1,512,64,50.06,20,32.6551677852349,17.4048322147651
pak,ft,4,0,1,512,64,52.09,20,31.009933333333333,21.08006666666667
rand,ft,4,0,1,512,64,51.81,20,36.87811764705882,14.93188235294118
spr,ft,5,0,2,512,64,49.97,20,32.6551677852349,17.314832214765097
pak,ft,5,0,2,512,64,51.73,20,31.009933333333333,20.720066666666664
rand,ft,5,0,2,512,64,50.38,20,36.87811764705882,13.50188235294118
spr,ft,1,2,0,512,80,66.83,20,32.6551677852349,34.1748322147651
pak,ft,1,2,0,512,80,55.55,20,31.009933333333333,24.540066666666664
rand,ft,1,2,0,512,80,68.58,20,36.87811764705882,31.701882352941176
spr,ft,2,1,0,512,80,59.55,20,32.6551677852349,26.894832214765096
pak,ft,2,1,0,512,80,54.66,20,31.009933333333333,23.650066666666664
rand,ft,2,1,0,512,80,64.35,20,36.87811764705882,27.471882352941172
spr,ft,3,0,0,512,80,51.05,20,32.6551677852349,18.394832214765096
pak,ft,3,0,0,512,80,50.12,20,31.009933333333333,19.110066666666665
rand,ft,3,0,0,512,80,53.24,20,36.87811764705882,16.36188235294118
spr,ft,4,0,1,512,80,44.5,20,32.6551677852349,11.844832214765098
pak,ft,4,0,1,512,80,46.97,20,31.009933333333333,15.960066666666666
rand,ft,4,0,1,512,80,45.33,20,36.87811764705882,8.451882352941176
spr,ft,5,0,2,512,80,44.06,20,32.6551677852349,11.4048322147651
pak,ft,5,0,2,512,80,46.52,20,31.009933333333333,15.51006666666667
rand,ft,5,0,2,512,80,45.33,20,36.87811764705882,8.451882352941176
spr,ft,1,2,0,512,115,64.73,20,32.6551677852349,32.0748322147651
pak,ft,1,2,0,512,115,54.5,20,31.009933333333333,23.490066666666667
