algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,lu,1,2,0,512,64,74.61,16
pak,lu,1,2,0,512,64,65.83,16
rand,lu,1,2,0,512,64,75.79,16
spr,lu,2,1,0,512,64,68.52,16
pak,lu,2,1,0,512,64,66.41,16
rand,lu,2,1,0,512,64,68.91,16
spr,lu,3,0,0,512,64,66.48,16
pak,lu,3,0,0,512,64,66.01,16
rand,lu,3,0,0,512,64,66.75,16
spr,lu,4,0,1,512,64,66.46,16
pak,lu,4,0,1,512,64,65.61,16
rand,lu,4,0,1,512,64,66.66,16
spr,lu,5,0,2,512,64,66.49,16
pak,lu,5,0,2,512,64,65.39,16
rand,lu,5,0,2,512,64,66.96,16
spr,lu,1,2,0,512,80,68.46,16
pak,lu,1,2,0,512,80,60.31,16
rand,lu,1,2,0,512,80,69.99,16
spr,lu,2,1,0,512,80,61.81,16
pak,lu,2,1,0,512,80,60.24,16
rand,lu,2,1,0,512,80,62.68,16
spr,lu,3,0,0,512,80,60.66,16
pak,lu,3,0,0,512,80,59.95,16
rand,lu,3,0,0,512,80,60.51,16
spr,lu,4,0,1,512,80,59.59,16
pak,lu,4,0,1,512,80,60.38,16
rand,lu,4,0,1,512,80,60.27,16
spr,lu,5,0,2,512,80,59.94,16
pak,lu,5,0,2,512,80,60.14,16
rand,lu,5,0,2,512,80,59.89,16
pak,lu,1,2,0,512,115,60.08,16
rand,lu,1,2,0,512,115,70.00,16
spr,lu,2,1,0,512,115,60.95,16
pak,lu,2,1,0,512,115,60.95,16
rand,lu,2,1,0,512,115,61.02,16
spr,lu,3,0,0,512,115,59.72,16
pak,lu,3,0,0,512,115,60.24,16
rand,lu,3,0,0,512,115,60.12,16
spr,lu,4,0,1,512,115,59.76,16
pak,lu,4,0,1,512,115,60.31,16
rand,lu,4,0,1,512,115,59.78,16
spr,lu,5,0,2,512,115,59.82,16
pak,lu,5,0,2,512,115,60.43,16
rand,lu,5,0,2,512,115,59.57,16
spr,lu,1,2,0,512,64,84.54,20
pak,lu,1,2,0,512,64,76.82,20
rand,lu,1,2,0,512,64,85.89,20
spr,lu,2,1,0,512,64,78.64,20
pak,lu,2,1,0,512,64,76.18,20
rand,lu,2,1,0,512,64,79.92,20
spr,lu,3,0,0,512,64,78.51,20
pak,lu,3,0,0,512,64,75.76,20
rand,lu,3,0,0,512,64,77.59,20
spr,lu,4,0,1,512,64,78.07,20
pak,lu,4,0,1,512,64,74.98,20
rand,lu,4,0,1,512,64,79.62,20
spr,lu,5,0,2,512,64,77.87,20
pak,lu,5,0,2,512,64,76.32,20
rand,lu,5,0,2,512,64,79.22,20
spr,lu,1,2,0,512,80,74.24,20
pak,lu,1,2,0,512,80,68.73,20
rand,lu,1,2,0,512,80,77.68,20
spr,lu,2,1,0,512,80,69.10,20
