algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,mg,1,2,0,512,64,89.85,16
pak,mg,1,2,0,512,64,66.23,16
rand,mg,1,2,0,512,64,95.43,16
spr,mg,2,1,0,512,64,70.42,16
pak,mg,2,1,0,512,64,64.88,16
rand,mg,2,1,0,512,64,71.72,16
spr,mg,3,0,0,512,64,66.13,16
pak,mg,3,0,0,512,64,63.80,16
rand,mg,3,0,0,512,64,66.37,16
spr,mg,4,0,1,512,64,65.44,16
pak,mg,4,0,1,512,64,63.98,16
rand,mg,4,0,1,512,64,64.71,16
spr,mg,5,0,2,512,64,64.92,16
pak,mg,5,0,2,512,64,63.57,16
rand,mg,5,0,2,512,64,64.54,16
spr,mg,1,2,0,512,80,86.71,16
pak,mg,1,2,0,512,80,63.40,16
rand,mg,1,2,0,512,80,88.42,16
spr,mg,2,1,0,512,80,66.75,16
pak,mg,2,1,0,512,80,62.00,16
rand,mg,2,1,0,512,80,68.36,16
spr,mg,3,0,0,512,80,62.22,16
pak,mg,3,0,0,512,80,60.85,16
rand,mg,3,0,0,512,80,62.07,16
spr,mg,4,0,1,512,80,60.92,16
pak,mg,4,0,1,512,80,60.80,16
rand,mg,4,0,1,512,80,59.79,16
spr,mg,5,0,2,512,80,60.96,16
pak,mg,5,0,2,512,80,60.82,16
rand,mg,5,0,2,512,80,60.08,16
pak,mg,1,2,0,512,115,61.75,16
rand,mg,1,2,0,512,115,78.15,16
spr,mg,2,1,0,512,115,65.80,16
pak,mg,2,1,0,512,115,61.63,16
rand,mg,2,1,0,512,115,66.83,16
spr,mg,3,0,0,512,115,61.59,16
pak,mg,3,0,0,512,115,60.59,16
rand,mg,3,0,0,512,115,61.06,16
spr,mg,4,0,1,512,115,60.59,16
pak,mg,4,0,1,512,115,60.38,16
rand,mg,4,0,1,512,115,60.20,16
spr,mg,5,0,2,512,115,60.25,16
pak,mg,5,0,2,512,115,60.52,16
rand,mg,5,0,2,512,115,60.28,16
spr,mg,1,2,0,512,64,99.66,20
pak,mg,1,2,0,512,64,83.14,20
rand,mg,1,2,0,512,64,96.11,20
spr,mg,2,1,0,512,64,83.72,20
pak,mg,2,1,0,512,64,78.99,20
rand,mg,2,1,0,512,64,84.15,20
spr,mg,3,0,0,512,64,80.01,20
pak,mg,3,0,0,512,64,77.46,20
rand,mg,3,0,0,512,64,79.68,20
spr,mg,4,0,1,512,64,78.41,20
pak,mg,4,0,1,512,64,77.32,20
rand,mg,4,0,1,512,64,78.38,20
spr,mg,5,0,2,512,64,78.17,20
pak,mg,5,0,2,512,64,76.98,20
rand,mg,5,0,2,512,64,77.87,20
spr,mg,1,2,0,512,80,93.32,20
pak,mg,1,2,0,512,80,80.07,20
rand,mg,1,2,0,512,80,95.69,20
spr,mg,2,1,0,512,80,78.01,20
pak,mg,2,1,0,512,80,75.49,20
rand,mg,2,1,0,512,80,79.71,20
spr,mg,3,0,0,512,80,74.08,20
pak,mg,3,0,0,512,80,73.26,20
rand,mg,3,0,0,512,80,73.79,20
spr,mg,4,0,1,512,80,73.13,20
pak,mg,4,0,1,512,80,73.09,20
rand,mg,4,0,1,512,80,72.65,20
spr,mg,5,0,2,512,80,72.84,20
pak,mg,5,0,2,512,80,73.07,20
rand,mg,5,0,2,512,80,72.88,20
spr,mg,1,2,0,512,115,91.36,20
pak,mg,1,2,0,512,115,79.67,20
rand,mg,1,2,0,512,115,93.50,20
spr,mg,2,1,0,512,115,76.74,20
pak,mg,2,1,0,512,115,74.73,20
rand,mg,2,1,0,512,115,77.21,20
spr,mg,3,0,0,512,115,72.86,20
pak,mg,3,0,0,512,115,72.42,20
rand,mg,3,0,0,512,115,72.44,20
spr,mg,4,0,1,512,115,71.45,20
pak,mg,4,0,1,512,115,72.10,20
rand,mg,4,0,1,512,115,71.49,20
spr,mg,5,0,2,512,115,71.35,20
pak,mg,5,0,2,512,115,72.16,20
rand,mg,5,0,2,512,115,70.94,20
spr,mg,1,2,0,512,64,113.30,24
pak,mg,1,2,0,512,64,91.83,24
rand,mg,1,2,0,512,64,120.79,24
spr,mg,2,1,0,512,64,98.21,24
pak,mg,2,1,0,512,64,91.60,24
rand,mg,2,1,0,512,64,97.40,24
spr,mg,3,0,0,512,64,93.24,24
pak,mg,3,0,0,512,64,90.90,24
rand,mg,3,0,0,512,64,91.82,24
spr,mg,4,0,1,512,64,91.58,24
pak,mg,4,0,1,512,64,90.79,24
rand,mg,4,0,1,512,64,93.25,24
spr,mg,5,0,2,512,64,91.63,24
pak,mg,5,0,2,512,64,91.09,24
rand,mg,5,0,2,512,64,91.33,24
spr,mg,1,2,0,512,80,107.98,24
pak,mg,1,2,0,512,80,86.21,24
rand,mg,1,2,0,512,80,112.07,24
spr,mg,2,1,0,512,80,91.11,24
pak,mg,2,1,0,512,80,86.16,24
rand,mg,2,1,0,512,80,92.02,24
spr,mg,3,0,0,512,80,86.36,24
pak,mg,3,0,0,512,80,85.50,24
rand,mg,3,0,0,512,80,85.26,24
spr,mg,4,0,1,512,80,85.13,24
pak,mg,4,0,1,512,80,85.46,24
rand,mg,4,0,1,512,80,84.36,24
spr,mg,5,0,2,512,80,85.23,24
pak,mg,5,0,2,512,80,85.45,24
rand,mg,5,0,2,512,80,84.05,24
spr,mg,1,2,0,512,115,105.00,24
pak,mg,1,2,0,512,115,84.91,24
rand,mg,1,2,0,512,115,110.04,24
spr,mg,2,1,0,512,115,89.06,24
pak,mg,2,1,0,512,115,84.72,24
rand,mg,2,1,0,512,115,90.12,24
spr,mg,3,0,0,512,115,84.55,24
pak,mg,3,0,0,512,115,84.01,24
rand,mg,3,0,0,512,115,83.44,24
spr,mg,4,0,1,512,115,82.97,24
pak,mg,4,0,1,512,115,84.01,24
rand,mg,4,0,1,512,115,83.29,24
spr,mg,5,0,2,512,115,83.35,24
pak,mg,5,0,2,512,115,84.07,24
rand,mg,5,0,2,512,115,82.51,24
rand,mg,1,2,0,512,64,83.91,16
rand,mg,2,1,0,512,64,70.92,16
rand,mg,3,0,0,512,64,66.64,16
rand,mg,4,0,1,512,64,64.71,16
rand,mg,5,0,2,512,64,65.03,16
rand,mg,1,2,0,512,80,79.52,16
rand,mg,2,1,0,512,80,67.35,16
rand,mg,3,0,0,512,80,61.98,16
rand,mg,4,0,1,512,80,60.94,16
rand,mg,5,0,2,512,80,60.67,16
rand,mg,1,2,0,512,115,82.56,16
rand,mg,2,1,0,512,115,66.89,16
rand,mg,3,0,0,512,115,61.99,16
rand,mg,4,0,1,512,115,60.65,16
rand,mg,5,0,2,512,115,60.21,16
rand,mg,1,2,0,512,64,96.37,20
rand,mg,2,1,0,512,64,85.20,20
rand,mg,3,0,0,512,64,80.50,20
rand,mg,4,0,1,512,64,78.80,20
rand,mg,5,0,2,512,64,77.65,20
rand,mg,1,2,0,512,80,87.76,20
rand,mg,2,1,0,512,80,79.12,20
rand,mg,3,0,0,512,80,73.75,20
rand,mg,4,0,1,512,80,72.48,20
spr,mg,1,2,0,1024,64,57.12,16
pak,mg,1,2,0,1024,64,40.14,16
