algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
pak,amr,3,0,0,1024,115,19.166615,16
rand,amr,3,0,0,1024,115,21.435721,16
spr,amr,3,0,0,1024,115,19.829775,16
pak,amr,4,0,1,1024,115,18.208409,16
rand,amr,4,0,1,1024,115,18.414487,16
spr,amr,4,0,1,1024,115,18.642451,16
pak,amr,5,0,2,1024,115,18.088542,16
rand,amr,5,0,2,1024,115,18.333897,16
spr,amr,5,0,2,1024,115,18.602113,16
pak,amr,2,1,0,1024,115,23.148787,16
rand,amr,2,1,0,1024,115,29.211005,16
spr,amr,2,1,0,1024,115,23.792556,16
pak,amr,1,2,0,1024,115,26.260273,16
rand,amr,1,2,0,1024,115,58.016350,16
spr,amr,1,2,0,1024,115,38.185979,16
pak,amr,3,0,0,1024,64,19.952118,16
rand,amr,3,0,0,1024,64,22.376354,16
spr,amr,3,0,0,1024,64,20.742239,16
pak,amr,4,0,1,1024,64,19.229608,16
rand,amr,4,0,1,1024,64,19.151690,16
spr,amr,4,0,1,1024,64,19.389987,16
pak,amr,5,0,2,1024,64,19.222309,16
rand,amr,5,0,2,1024,64,19.137164,16
spr,amr,5,0,2,1024,64,19.580916,16
pak,amr,2,1,0,1024,64,24.241972,16
rand,amr,2,1,0,1024,64,29.971552,16
spr,amr,2,1,0,1024,64,24.741490,16
pak,amr,1,2,0,1024,64,26.897351,16
rand,amr,1,2,0,1024,64,63.166172,16
spr,amr,1,2,0,1024,64,37.000997,16
pak,amr,3,0,0,1024,80,19.115038,16
rand,amr,3,0,0,1024,80,20.690467,16
spr,amr,3,0,0,1024,80,19.932133,16
pak,amr,4,0,1,1024,80,18.049316,16
rand,amr,4,0,1,1024,80,18.292256,16
spr,amr,4,0,1,1024,80,18.667027,16
pak,amr,5,0,2,1024,80,18.307009,16
rand,amr,5,0,2,1024,80,17.915701,16
spr,amr,5,0,2,1024,80,18.554638,16
pak,amr,2,1,0,1024,80,23.149841,16
rand,amr,2,1,0,1024,80,26.877236,16
spr,amr,2,1,0,1024,80,23.745256,16
pak,amr,1,2,0,1024,80,26.263266,16
rand,amr,1,2,0,1024,80,52.876797,16
spr,amr,1,2,0,1024,80,35.919106,16
pak,amr,3,0,0,1024,115,25.592380,20
rand,amr,3,0,0,1024,115,30.846757,20
spr,amr,3,0,0,1024,115,29.016918,20
pak,amr,4,0,1,1024,115,25.328406,20
rand,amr,4,0,1,1024,115,25.360067,20
spr,amr,4,0,1,1024,115,24.923990,20
pak,amr,5,0,2,1024,115,24.860136,20
rand,amr,5,0,2,1024,115,24.829715,20
spr,amr,5,0,2,1024,115,24.985161,20
pak,amr,2,1,0,1024,115,28.770043,20
rand,amr,2,1,0,1024,115,42.239672,20
spr,amr,2,1,0,1024,115,36.183980,20
pak,amr,1,2,0,1024,115,30.974489,20
rand,amr,1,2,0,1024,115,78.425741,20
spr,amr,1,2,0,1024,115,51.123886,20
pak,amr,3,0,0,1024,64,27.363653,20
rand,amr,3,0,0,1024,64,31.529764,20
spr,amr,3,0,0,1024,64,30.408392,20
pak,amr,4,0,1,1024,64,26.859601,20
rand,amr,4,0,1,1024,64,28.356926,20
spr,amr,4,0,1,1024,64,26.957506,20
pak,amr,5,0,2,1024,64,26.887887,20
rand,amr,5,0,2,1024,64,27.479674,20
spr,amr,5,0,2,1024,64,26.724109,20
pak,amr,2,1,0,1024,64,30.439590,20
rand,amr,2,1,0,1024,64,42.192848,20
spr,amr,2,1,0,1024,64,38.252565,20
pak,amr,1,2,0,1024,64,32.464688,20
rand,amr,1,2,0,1024,64,86.993731,20
spr,amr,1,2,0,1024,64,52.918376,20
pak,amr,3,0,0,1024,80,26.301434,20
rand,amr,3,0,0,1024,80,30.777476,20
spr,amr,3,0,0,1024,80,29.316828,20
pak,amr,4,0,1,1024,80,25.069587,20
rand,amr,4,0,1,1024,80,25.455073,20
spr,amr,4,0,1,1024,80,25.310039,20
pak,amr,5,0,2,1024,80,25.439382,20
rand,amr,5,0,2,1024,80,25.190724,20
spr,amr,5,0,2,1024,80,25.169174,20
pak,amr,2,1,0,1024,80,29.335252,20
rand,amr,2,1,0,1024,80,45.635948,20
spr,amr,2,1,0,1024,80,36.950135,20
pak,amr,1,2,0,1024,80,31.294239,20
rand,amr,1,2,0,1024,80,75.901117,20
spr,amr,1,2,0,1024,80,51.798124,20
pak,amr,3,0,0,1024,115,24.782244,24
rand,amr,3,0,0,1024,115,29.622614,24
spr,amr,3,0,0,1024,115,26.459719,24
pak,amr,4,0,1,1024,115,24.147812,24
rand,amr,4,0,1,1024,115,23.886262,24
spr,amr,4,0,1,1024,115,23.907669,24
pak,amr,5,0,2,1024,115,23.598630,24
rand,amr,5,0,2,1024,115,23.973956,24
spr,amr,5,0,2,1024,115,23.721134,24
pak,amr,2,1,0,1024,115,26.406626,24
rand,amr,2,1,0,1024,115,35.963469,24
spr,amr,2,1,0,1024,115,31.643477,24
pak,amr,1,2,0,1024,115,27.495005,24
rand,amr,1,2,0,1024,115,58.745723,24
spr,amr,1,2,0,1024,115,36.664050,24
pak,amr,3,0,0,1024,64,28.698821,24
rand,amr,3,0,0,1024,64,32.659314,24
spr,amr,3,0,0,1024,64,29.895194,24
pak,amr,4,0,1,1024,64,27.656983,24
rand,amr,4,0,1,1024,64,29.002287,24
spr,amr,4,0,1,1024,64,28.439986,24
pak,amr,5,0,2,1024,64,27.972271,24
rand,amr,5,0,2,1024,64,28.844767,24
spr,amr,5,0,2,1024,64,28.031521,24
pak,amr,2,1,0,1024,64,30.189649,24
rand,amr,2,1,0,1024,64,40.493627,24
spr,amr,2,1,0,1024,64,35.021473,24
pak,amr,1,2,0,1024,64,31.049400,24
rand,amr,1,2,0,1024,64,52.924854,24
spr,amr,1,2,0,1024,64,40.009655,24
pak,amr,3,0,0,1024,80,25.747924,24
rand,amr,3,0,0,1024,80,30.958572,24
spr,amr,3,0,0,1024,80,27.998035,24
pak,amr,4,0,1,1024,80,25.002446,24
rand,amr,4,0,1,1024,80,24.881779,24
spr,amr,4,0,1,1024,80,24.913453,24
pak,amr,5,0,2,1024,80,25.282687,24
rand,amr,5,0,2,1024,80,24.982654,24
spr,amr,5,0,2,1024,80,25.297199,24
pak,amr,2,1,0,1024,80,27.779328,24
rand,amr,2,1,0,1024,80,36.752208,24
spr,amr,2,1,0,1024,80,32.589622,24
pak,amr,1,2,0,1024,80,28.612562,24
rand,amr,1,2,0,1024,80,71.903380,24
spr,amr,1,2,0,1024,80,37.831681,24
