algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
pak,cg,3,0,0,512,115,34.38,16
rand,cg,3,0,0,512,115,37.17,16
spr,cg,3,0,0,512,115,36.46,16
pak,cg,3,0,0,512,115,44.63,24
rand,cg,3,0,0,512,115,46.57,24
spr,cg,3,0,0,512,115,46.58,24
pak,cg,4,0,1,512,115,33.85,16
rand,cg,4,0,1,512,115,33.60,16
spr,cg,4,0,1,512,115,34.33,16
pak,cg,4,0,1,512,115,44.53,24
rand,cg,4,0,1,512,115,44.44,24
spr,cg,4,0,1,512,115,44.70,24
pak,cg,5,0,2,512,115,33.61,16
rand,cg,5,0,2,512,115,33.56,16
spr,cg,5,0,2,512,115,34.75,16
pak,cg,5,0,2,512,115,44.62,24
rand,cg,5,0,2,512,115,44.38,24
spr,cg,5,0,2,512,115,44.75,24
pak,cg,2,1,0,512,115,39.33,16
rand,cg,2,1,0,512,115,45.38,16
spr,cg,2,1,0,512,115,42.12,16
pak,cg,2,1,0,512,115,47.38,24
rand,cg,2,1,0,512,115,59.54,24
spr,cg,2,1,0,512,115,52.14,24
pak,cg,1,2,0,512,115,40.55,16
rand,cg,1,2,0,512,115,68.21,16
spr,cg,1,2,0,512,115,50.43,16
pak,cg,1,2,0,512,115,47.91,24
rand,cg,1,2,0,512,115,86.15,24
spr,cg,1,2,0,512,115,65.11,24
pak,cg,3,0,0,512,64,35.76,16
rand,cg,3,0,0,512,64,39.26,16
spr,cg,3,0,0,512,64,38.13,16
pak,cg,3,0,0,512,64,48.00,24
rand,cg,3,0,0,512,64,51.08,24
spr,cg,3,0,0,512,64,50.45,24
pak,cg,4,0,1,512,64,35.33,16
rand,cg,4,0,1,512,64,35.03,16
spr,cg,4,0,1,512,64,34.91,16
pak,cg,4,0,1,512,64,47.78,24
rand,cg,4,0,1,512,64,48.39,24
spr,cg,4,0,1,512,64,48.90,24
pak,cg,5,0,2,512,64,35.00,16
rand,cg,5,0,2,512,64,35.47,16
spr,cg,5,0,2,512,64,35.08,16
pak,cg,5,0,2,512,64,47.79,24
rand,cg,5,0,2,512,64,48.65,24
spr,cg,5,0,2,512,64,48.90,24
pak,cg,2,1,0,512,64,40.85,16
rand,cg,2,1,0,512,64,48.80,16
spr,cg,2,1,0,512,64,43.43,16
pak,cg,2,1,0,512,64,50.73,24
rand,cg,2,1,0,512,64,61.31,24
spr,cg,2,1,0,512,64,56.04,24
pak,cg,1,2,0,512,64,42.04,16
rand,cg,1,2,0,512,64,69.82,16
spr,cg,1,2,0,512,64,51.73,16
pak,cg,1,2,0,512,64,51.39,24
rand,cg,1,2,0,512,64,68.65,24
spr,cg,1,2,0,512,64,69.49,24
pak,cg,3,0,0,512,80,34.59,16
rand,cg,3,0,0,512,80,36.52,16
spr,cg,3,0,0,512,80,36.48,16
pak,cg,3,0,0,512,80,45.58,24
rand,cg,3,0,0,512,80,47.56,24
spr,cg,3,0,0,512,80,47.68,24
pak,cg,4,0,1,512,80,33.88,16
rand,cg,4,0,1,512,80,33.32,16
spr,cg,4,0,1,512,80,33.60,16
pak,cg,4,0,1,512,80,45.36,24
rand,cg,4,0,1,512,80,45.91,24
spr,cg,4,0,1,512,80,46.08,24
pak,cg,5,0,2,512,80,33.65,16
rand,cg,5,0,2,512,80,33.61,16
spr,cg,5,0,2,512,80,33.36,16
pak,cg,5,0,2,512,80,45.37,24
rand,cg,5,0,2,512,80,45.61,24
spr,cg,5,0,2,512,80,45.85,24
pak,cg,2,1,0,512,80,39.31,16
rand,cg,2,1,0,512,80,42.06,16
spr,cg,2,1,0,512,80,42.07,16
pak,cg,2,1,0,512,80,48.29,24
rand,cg,2,1,0,512,80,54.85,24
spr,cg,2,1,0,512,80,53.26,24
pak,cg,1,2,0,512,80,40.58,16
rand,cg,1,2,0,512,80,64.20,16
spr,cg,1,2,0,512,80,50.37,16
pak,cg,1,2,0,512,80,48.92,24
rand,cg,1,2,0,512,80,64.09,24
spr,cg,1,2,0,512,80,66.61,24
pak,cg,3,0,0,1024,115,27.51,16
pak,cg,3,0,0,1024,115,27.49,16
pak,cg,3,0,0,1024,115,27.50,16
rand,cg,3,0,0,1024,115,29.48,16
rand,cg,3,0,0,1024,115,30.90,16
rand,cg,3,0,0,1024,115,30.09,16
spr,cg,3,0,0,1024,115,27.48,16
spr,cg,3,0,0,1024,115,27.37,16
spr,cg,3,0,0,1024,115,27.38,16
pak,cg,3,0,0,1024,115,33.29,20
pak,cg,3,0,0,1024,115,33.36,20
pak,cg,3,0,0,1024,115,33.25,20
rand,cg,3,0,0,1024,115,35.88,20
rand,cg,3,0,0,1024,115,35.52,20
rand,cg,3,0,0,1024,115,34.86,20
spr,cg,3,0,0,1024,115,33.87,20
spr,cg,3,0,0,1024,115,33.78,20
spr,cg,3,0,0,1024,115,33.67,20
pak,cg,3,0,0,1024,115,35.55,24
pak,cg,3,0,0,1024,115,35.67,24
pak,cg,3,0,0,1024,115,35.66,24
rand,cg,3,0,0,1024,115,36.85,24
rand,cg,3,0,0,1024,115,37.93,24
rand,cg,3,0,0,1024,115,37.39,24
spr,cg,3,0,0,1024,115,36.30,24
spr,cg,3,0,0,1024,115,36.26,24
spr,cg,3,0,0,1024,115,36.25,24
pak,cg,4,0,1,1024,115,26.28,16
pak,cg,4,0,1,1024,115,26.32,16
pak,cg,4,0,1,1024,115,26.34,16
rand,cg,4,0,1,1024,115,26.33,16
rand,cg,4,0,1,1024,115,26.01,16
rand,cg,4,0,1,1024,115,26.24,16
spr,cg,4,0,1,1024,115,26.78,16
spr,cg,4,0,1,1024,115,26.78,16
spr,cg,4,0,1,1024,115,26.81,16
pak,cg,4,0,1,1024,115,32.60,20
pak,cg,4,0,1,1024,115,32.60,20
pak,cg,4,0,1,1024,115,32.62,20
rand,cg,4,0,1,1024,115,32.60,20
rand,cg,4,0,1,1024,115,32.65,20
rand,cg,4,0,1,1024,115,32.60,20
spr,cg,4,0,1,1024,115,33.02,20
spr,cg,4,0,1,1024,115,33.03,20
spr,cg,4,0,1,1024,115,33.08,20
pak,cg,4,0,1,1024,115,35.41,24
pak,cg,4,0,1,1024,115,35.33,24
pak,cg,4,0,1,1024,115,35.24,24
rand,cg,4,0,1,1024,115,35.06,24
rand,cg,4,0,1,1024,115,35.23,24
rand,cg,4,0,1,1024,115,35.54,24
spr,cg,4,0,1,1024,115,35.71,24
spr,cg,4,0,1,1024,115,35.71,24
spr,cg,4,0,1,1024,115,35.70,24
pak,cg,5,0,2,1024,115,26.20,16
pak,cg,5,0,2,1024,115,26.24,16
pak,cg,5,0,2,1024,115,26.24,16
rand,cg,5,0,2,1024,115,25.98,16
rand,cg,5,0,2,1024,115,26.11,16
rand,cg,5,0,2,1024,115,26.19,16
spr,cg,5,0,2,1024,115,26.70,16
spr,cg,5,0,2,1024,115,26.79,16
spr,cg,5,0,2,1024,115,26.90,16
pak,cg,5,0,2,1024,115,32.61,20
pak,cg,5,0,2,1024,115,32.52,20
pak,cg,5,0,2,1024,115,32.65,20
rand,cg,5,0,2,1024,115,32.61,20
rand,cg,5,0,2,1024,115,32.91,20
rand,cg,5,0,2,1024,115,32.37,20
spr,cg,5,0,2,1024,115,33.14,20
spr,cg,5,0,2,1024,115,33.02,20
spr,cg,5,0,2,1024,115,32.99,20
pak,cg,5,0,2,1024,115,35.31,24
pak,cg,5,0,2,1024,115,35.18,24
pak,cg,5,0,2,1024,115,35.24,24
rand,cg,5,0,2,1024,115,35.35,24
rand,cg,5,0,2,1024,115,35.22,24
rand,cg,5,0,2,1024,115,35.38,24
spr,cg,5,0,2,1024,115,35.62,24
spr,cg,5,0,2,1024,115,35.60,24
spr,cg,5,0,2,1024,115,35.69,24
pak,cg,2,1,0,1024,115,32.11,16
pak,cg,2,1,0,1024,115,32.19,16
pak,cg,2,1,0,1024,115,32.18,16
rand,cg,2,1,0,1024,115,36.80,16
rand,cg,2,1,0,1024,115,35.43,16
rand,cg,2,1,0,1024,115,40.37,16
spr,cg,2,1,0,1024,115,32.24,16
spr,cg,2,1,0,1024,115,32.16,16
spr,cg,2,1,0,1024,115,32.10,16
pak,cg,2,1,0,1024,115,37.43,20
pak,cg,2,1,0,1024,115,37.58,20
pak,cg,2,1,0,1024,115,37.45,20
rand,cg,2,1,0,1024,115,45.68,20
rand,cg,2,1,0,1024,115,42.87,20
rand,cg,2,1,0,1024,115,45.38,20
spr,cg,2,1,0,1024,115,37.64,20
spr,cg,2,1,0,1024,115,37.46,20
spr,cg,2,1,0,1024,115,37.62,20
pak,cg,2,1,0,1024,115,40.56,24
pak,cg,2,1,0,1024,115,40.73,24
pak,cg,2,1,0,1024,115,40.52,24
rand,cg,2,1,0,1024,115,43.33,24
rand,cg,2,1,0,1024,115,44.88,24
rand,cg,2,1,0,1024,115,44.35,24
spr,cg,2,1,0,1024,115,39.95,24
spr,cg,2,1,0,1024,115,39.86,24
spr,cg,2,1,0,1024,115,39.91,24
pak,cg,1,2,0,1024,115,34.79,16
pak,cg,1,2,0,1024,115,34.76,16
pak,cg,1,2,0,1024,115,35.88,16
rand,cg,1,2,0,1024,115,65.90,16
rand,cg,1,2,0,1024,115,56.27,16
rand,cg,1,2,0,1024,115,82.08,16
spr,cg,1,2,0,1024,115,46.33,16
spr,cg,1,2,0,1024,115,46.20,16
spr,cg,1,2,0,1024,115,53.55,16
pak,cg,1,2,0,1024,115,40.62,20
pak,cg,1,2,0,1024,115,40.52,20
