algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
pak,cg,3,0,0,512,115,34.38,16,29.041593749999997,5.338406250000006
rand,cg,3,0,0,512,115,37.17,16,34.62915625,2.5408437500000005
spr,cg,3,0,0,512,115,36.46,16,30.75834375,5.701656249999999
pak,cg,3,0,0,512,115,44.63,24,29.041593749999997,15.588406250000006
rand,cg,3,0,0,512,115,46.57,24,34.62915625,11.940843749999999
spr,cg,3,0,0,512,115,46.58,24,30.75834375,15.821656249999997
pak,cg,4,0,1,512,115,33.85,16,29.041593749999997,4.808406250000004
rand,cg,4,0,1,512,115,33.6,16,34.62915625,1.0291562499999998
spr,cg,4,0,1,512,115,34.33,16,30.75834375,3.5716562499999966
pak,cg,4,0,1,512,115,44.53,24,29.041593749999997,15.488406250000004
rand,cg,4,0,1,512,115,44.44,24,34.62915625,9.810843749999997
spr,cg,4,0,1,512,115,44.7,24,30.75834375,13.941656250000001
pak,cg,5,0,2,512,115,33.61,16,29.041593749999997,4.5684062500000024
rand,cg,5,0,2,512,115,33.56,16,34.62915625,1.069156249999999
spr,cg,5,0,2,512,115,34.75,16,30.75834375,3.9916562499999984
pak,cg,5,0,2,512,115,44.62,24,29.041593749999997,15.57840625
rand,cg,5,0,2,512,115,44.38,24,34.62915625,9.750843750000001
spr,cg,5,0,2,512,115,44.75,24,30.75834375,13.991656249999998
pak,cg,2,1,0,512,115,39.33,16,29.041593749999997,10.288406250000001
rand,cg,2,1,0,512,115,45.38,16,34.62915625,10.750843750000001
spr,cg,2,1,0,512,115,42.12,16,30.75834375,11.361656249999996
pak,cg,2,1,0,512,115,47.38,24,29.041593749999997,18.338406250000006
rand,cg,2,1,0,512,115,59.54,24,34.62915625,24.910843749999998
spr,cg,2,1,0,512,115,52.14,24,30.75834375,21.38165625
pak,cg,1,2,0,512,115,40.55,16,29.041593749999997,11.50840625
rand,cg,1,2,0,512,115,68.21,16,34.62915625,33.58084374999999
spr,cg,1,2,0,512,115,50.43,16,30.75834375,19.671656249999998
pak,cg,1,2,0,512,115,47.91,24,29.041593749999997,18.86840625
rand,cg,1,2,0,512,115,86.15,24,34.62915625,51.520843750000004
spr,cg,1,2,0,512,115,65.11,24,30.75834375,34.35165625
pak,cg,3,0,0,512,64,35.76,16,29.041593749999997,6.718406250000001
rand,cg,3,0,0,512,64,39.26,16,34.62915625,4.630843749999997
spr,cg,3,0,0,512,64,38.13,16,30.75834375,7.371656250000001
pak,cg,3,0,0,512,64,48.0,24,29.041593749999997,18.958406250000003
rand,cg,3,0,0,512,64,51.08,24,34.62915625,16.450843749999997
spr,cg,3,0,0,512,64,50.45,24,30.75834375,19.69165625
pak,cg,4,0,1,512,64,35.33,16,29.041593749999997,6.288406250000001
rand,cg,4,0,1,512,64,35.03,16,34.62915625,0.40084374999999994
spr,cg,4,0,1,512,64,34.91,16,30.75834375,4.151656249999995
pak,cg,4,0,1,512,64,47.78,24,29.041593749999997,18.738406250000004
rand,cg,4,0,1,512,64,48.39,24,34.62915625,13.76084375
spr,cg,4,0,1,512,64,48.9,24,30.75834375,18.141656249999997
pak,cg,5,0,2,512,64,35.0,16,29.041593749999997,5.958406250000003
rand,cg,5,0,2,512,64,35.47,16,34.62915625,0.8408437499999977
spr,cg,5,0,2,512,64,35.08,16,30.75834375,4.321656249999997
pak,cg,5,0,2,512,64,47.79,24,29.041593749999997,18.748406250000002
rand,cg,5,0,2,512,64,48.65,24,34.62915625,14.020843749999997
spr,cg,5,0,2,512,64,48.9,24,30.75834375,18.141656249999997
pak,cg,2,1,0,512,64,40.85,16,29.041593749999997,11.808406250000004
rand,cg,2,1,0,512,64,48.8,16,34.62915625,14.170843749999996
spr,cg,2,1,0,512,64,43.43,16,30.75834375,12.671656249999998
pak,cg,2,1,0,512,64,50.73,24,29.041593749999997,21.68840625
rand,cg,2,1,0,512,64,61.31,24,34.62915625,26.68084375
spr,cg,2,1,0,512,64,56.04,24,30.75834375,25.281656249999997
pak,cg,1,2,0,512,64,42.04,16,29.041593749999997,12.998406250000002
rand,cg,1,2,0,512,64,69.82,16,34.62915625,35.19084374999999
spr,cg,1,2,0,512,64,51.73,16,30.75834375,20.971656249999995
pak,cg,1,2,0,512,64,51.39,24,29.041593749999997,22.348406250000004
rand,cg,1,2,0,512,64,68.65,24,34.62915625,34.020843750000004
spr,cg,1,2,0,512,64,69.49,24,30.75834375,38.73165624999999
pak,cg,3,0,0,512,80,34.59,16,29.041593749999997,5.548406250000006
rand,cg,3,0,0,512,80,36.52,16,34.62915625,1.890843750000002
spr,cg,3,0,0,512,80,36.48,16,30.75834375,5.721656249999995
pak,cg,3,0,0,512,80,45.58,24,29.041593749999997,16.53840625
rand,cg,3,0,0,512,80,47.56,24,34.62915625,12.930843750000001
spr,cg,3,0,0,512,80,47.68,24,30.75834375,16.921656249999998
pak,cg,4,0,1,512,80,33.88,16,29.041593749999997,4.838406250000006
rand,cg,4,0,1,512,80,33.32,16,34.62915625,1.309156250000001
spr,cg,4,0,1,512,80,33.6,16,30.75834375,2.8416562499999998
pak,cg,4,0,1,512,80,45.36,24,29.041593749999997,16.318406250000002
rand,cg,4,0,1,512,80,45.91,24,34.62915625,11.280843749999995
spr,cg,4,0,1,512,80,46.08,24,30.75834375,15.321656249999997
pak,cg,5,0,2,512,80,33.65,16,29.041593749999997,4.608406250000002
rand,cg,5,0,2,512,80,33.61,16,34.62915625,1.0191562500000018
spr,cg,5,0,2,512,80,33.36,16,30.75834375,2.601656249999998
pak,cg,5,0,2,512,80,45.37,24,29.041593749999997,16.32840625
rand,cg,5,0,2,512,80,45.61,24,34.62915625,10.980843749999998
spr,cg,5,0,2,512,80,45.85,24,30.75834375,15.09165625
pak,cg,2,1,0,512,80,39.31,16,29.041593749999997,10.268406250000005
rand,cg,2,1,0,512,80,42.06,16,34.62915625,7.430843750000001
spr,cg,2,1,0,512,80,42.07,16,30.75834375,11.311656249999999
pak,cg,2,1,0,512,80,48.29,24,29.041593749999997,19.248406250000002
rand,cg,2,1,0,512,80,54.85,24,34.62915625,20.22084375
spr,cg,2,1,0,512,80,53.26,24,30.75834375,22.501656249999996
pak,cg,1,2,0,512,80,40.58,16,29.041593749999997,11.538406250000001
rand,cg,1,2,0,512,80,64.2,16,34.62915625,29.57084375
spr,cg,1,2,0,512,80,50.37,16,30.75834375,19.611656249999996
pak,cg,1,2,0,512,80,48.92,24,29.041593749999997,19.878406250000005
rand,cg,1,2,0,512,80,64.09,24,34.62915625,29.460843750000002
spr,cg,1,2,0,512,80,66.61,24,30.75834375,35.85165625
pak,cg,3,0,0,1024,115,27.51,16,29.041593749999997,1.5315937499999954
pak,cg,3,0,0,1024,115,27.49,16,29.041593749999997,1.5515937499999986
