algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
spr,CoMD,1,2,0,512,64,39.4856,16,41.281371812080536,1.7957718120805382
pak,CoMD,1,2,0,512,64,35.8287,16,41.379472666666665,5.550772666666667
rand,CoMD,1,2,0,512,64,41.5681,16,41.928767322834645,0.36066732283464376
spr,CoMD,2,1,0,512,64,38.4217,16,41.281371812080536,2.859671812080535
pak,CoMD,2,1,0,512,64,37.8492,16,41.379472666666665,3.5302726666666615
rand,CoMD,2,1,0,512,64,39.5879,16,41.928767322834645,2.3408673228346473
spr,CoMD,3,0,0,512,64,39.6499,16,41.281371812080536,1.6314718120805338
pak,CoMD,3,0,0,512,64,36.935,16,41.379472666666665,4.4444726666666625
rand,CoMD,3,0,0,512,64,39.3345,16,41.928767322834645,2.5942673228346464
spr,CoMD,4,0,1,512,64,37.0282,16,41.281371812080536,4.253171812080538
pak,CoMD,4,0,1,512,64,36.8455,16,41.379472666666665,4.5339726666666635
rand,CoMD,4,0,1,512,64,39.9155,16,41.928767322834645,2.0132673228346434
spr,CoMD,5,0,2,512,64,38.6121,16,41.281371812080536,2.669271812080538
pak,CoMD,5,0,2,512,64,37.0098,16,41.379472666666665,4.369672666666666
rand,CoMD,5,0,2,512,64,38.2594,16,41.928767322834645,3.6693673228346455
spr,CoMD,1,2,0,512,80,35.7045,16,41.281371812080536,5.576871812080533
pak,CoMD,1,2,0,512,80,34.0391,16,41.379472666666665,7.340372666666667
rand,CoMD,1,2,0,512,80,35.4028,16,41.928767322834645,6.525967322834646
spr,CoMD,2,1,0,512,80,34.8359,16,41.281371812080536,6.445471812080534
pak,CoMD,2,1,0,512,80,34.6894,16,41.379472666666665,6.690072666666666
rand,CoMD,2,1,0,512,80,37.3806,16,41.928767322834645,4.548167322834644
spr,CoMD,3,0,0,512,80,34.7461,16,41.281371812080536,6.535271812080538
pak,CoMD,3,0,0,512,80,33.8352,16,41.379472666666665,7.544272666666664
rand,CoMD,3,0,0,512,80,34.9554,16,41.928767322834645,6.9733673228346476
spr,CoMD,4,0,1,512,80,33.9249,16,41.281371812080536,7.356471812080535
pak,CoMD,4,0,1,512,80,33.9109,16,41.379472666666665,7.468572666666667
rand,CoMD,4,0,1,512,80,33.9146,16,41.928767322834645,8.014167322834645
spr,CoMD,5,0,2,512,80,33.5766,16,41.281371812080536,7.704771812080537
pak,CoMD,5,0,2,512,80,35.3372,16,41.379472666666665,6.042272666666662
rand,CoMD,5,0,2,512,80,35.8816,16,41.928767322834645,6.047167322834646
pak,CoMD,1,2,0,512,115,34.8292,16,41.379472666666665,6.550272666666665
rand,CoMD,1,2,0,512,115,36.8576,16,41.928767322834645,5.071167322834647
spr,CoMD,2,1,0,512,115,36.0956,16,41.281371812080536,5.185771812080539
pak,CoMD,2,1,0,512,115,35.4795,16,41.379472666666665,5.899972666666663
rand,CoMD,2,1,0,512,115,36.0533,16,41.928767322834645,5.875467322834645
spr,CoMD,3,0,0,512,115,34.0974,16,41.281371812080536,7.183971812080536
pak,CoMD,3,0,0,512,115,35.8808,16,41.379472666666665,5.498672666666664
rand,CoMD,3,0,0,512,115,34.5862,16,41.928767322834645,7.342567322834647
spr,CoMD,4,0,1,512,115,35.5614,16,41.281371812080536,5.719971812080537
pak,CoMD,4,0,1,512,115,35.0184,16,41.379472666666665,6.361072666666665
rand,CoMD,4,0,1,512,115,35.8466,16,41.928767322834645,6.082167322834643
spr,CoMD,5,0,2,512,115,34.822,16,41.281371812080536,6.4593718120805335
pak,CoMD,5,0,2,512,115,33.401,16,41.379472666666665,7.978472666666661
rand,CoMD,5,0,2,512,115,35.644,16,41.928767322834645,6.284767322834647
