algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
spr,lu,1,2,0,512,64,74.61,16,41.2041610738255,33.405838926174496
pak,lu,1,2,0,512,64,65.83,16,40.849066666666666,24.980933333333333
rand,lu,1,2,0,512,64,75.79,16,45.534470588235294,30.255529411764712
spr,lu,2,1,0,512,64,68.52,16,41.2041610738255,27.315838926174493
pak,lu,2,1,0,512,64,66.41,16,40.849066666666666,25.56093333333333
rand,lu,2,1,0,512,64,68.91,16,45.534470588235294,23.375529411764703
spr,lu,3,0,0,512,64,66.48,16,41.2041610738255,25.2758389261745
pak,lu,3,0,0,512,64,66.01,16,40.849066666666666,25.16093333333334
rand,lu,3,0,0,512,64,66.75,16,45.534470588235294,21.215529411764706
spr,lu,4,0,1,512,64,66.46,16,41.2041610738255,25.25583892617449
pak,lu,4,0,1,512,64,65.61,16,40.849066666666666,24.760933333333334
rand,lu,4,0,1,512,64,66.66,16,45.534470588235294,21.125529411764703
spr,lu,5,0,2,512,64,66.49,16,41.2041610738255,25.285838926174492
pak,lu,5,0,2,512,64,65.39,16,40.849066666666666,24.540933333333335
rand,lu,5,0,2,512,64,66.96,16,45.534470588235294,21.4255294117647
spr,lu,1,2,0,512,80,68.46,16,41.2041610738255,27.25583892617449
pak,lu,1,2,0,512,80,60.31,16,40.849066666666666,19.460933333333337
rand,lu,1,2,0,512,80,69.99,16,45.534470588235294,24.4555294117647
spr,lu,2,1,0,512,80,61.81,16,41.2041610738255,20.6058389261745
pak,lu,2,1,0,512,80,60.24,16,40.849066666666666,19.390933333333336
rand,lu,2,1,0,512,80,62.68,16,45.534470588235294,17.145529411764706
spr,lu,3,0,0,512,80,60.66,16,41.2041610738255,19.455838926174494
pak,lu,3,0,0,512,80,59.95,16,40.849066666666666,19.100933333333337
rand,lu,3,0,0,512,80,60.51,16,45.534470588235294,14.975529411764704
spr,lu,4,0,1,512,80,59.59,16,41.2041610738255,18.3858389261745
pak,lu,4,0,1,512,80,60.38,16,40.849066666666666,19.530933333333337
rand,lu,4,0,1,512,80,60.27,16,45.534470588235294,14.735529411764709
spr,lu,5,0,2,512,80,59.94,16,41.2041610738255,18.735838926174495
pak,lu,5,0,2,512,80,60.14,16,40.849066666666666,19.290933333333335
rand,lu,5,0,2,512,80,59.89,16,45.534470588235294,14.355529411764707
pak,lu,1,2,0,512,115,60.08,16,40.849066666666666,19.230933333333333
rand,lu,1,2,0,512,115,70.0,16,45.534470588235294,24.465529411764706
spr,lu,2,1,0,512,115,60.95,16,41.2041610738255,19.7458389261745
pak,lu,2,1,0,512,115,60.95,16,40.849066666666666,20.100933333333337
rand,lu,2,1,0,512,115,61.02,16,45.534470588235294,15.485529411764709
spr,lu,3,0,0,512,115,59.72,16,41.2041610738255,18.515838926174496
pak,lu,3,0,0,512,115,60.24,16,40.849066666666666,19.390933333333336
rand,lu,3,0,0,512,115,60.12,16,45.534470588235294,14.585529411764703
spr,lu,4,0,1,512,115,59.76,16,41.2041610738255,18.555838926174495
pak,lu,4,0,1,512,115,60.31,16,40.849066666666666,19.460933333333337
rand,lu,4,0,1,512,115,59.78,16,45.534470588235294,14.245529411764707
spr,lu,5,0,2,512,115,59.82,16,41.2041610738255,18.615838926174497
pak,lu,5,0,2,512,115,60.43,16,40.849066666666666,19.580933333333334
rand,lu,5,0,2,512,115,59.57,16,45.534470588235294,14.035529411764706
spr,lu,1,2,0,512,64,84.54,20,41.2041610738255,43.3358389261745
pak,lu,1,2,0,512,64,76.82,20,40.849066666666666,35.97093333333333
rand,lu,1,2,0,512,64,85.89,20,45.534470588235294,40.35552941176471
spr,lu,2,1,0,512,64,78.64,20,41.2041610738255,37.4358389261745
pak,lu,2,1,0,512,64,76.18,20,40.849066666666666,35.33093333333334
rand,lu,2,1,0,512,64,79.92,20,45.534470588235294,34.38552941176471
spr,lu,3,0,0,512,64,78.51,20,41.2041610738255,37.3058389261745
pak,lu,3,0,0,512,64,75.76,20,40.849066666666666,34.91093333333334
rand,lu,3,0,0,512,64,77.59,20,45.534470588235294,32.05552941176471
spr,lu,4,0,1,512,64,78.07,20,41.2041610738255,36.86583892617449
pak,lu,4,0,1,512,64,74.98,20,40.849066666666666,34.13093333333334
rand,lu,4,0,1,512,64,79.62,20,45.534470588235294,34.08552941176471
spr,lu,5,0,2,512,64,77.87,20,41.2041610738255,36.6658389261745
pak,lu,5,0,2,512,64,76.32,20,40.849066666666666,35.47093333333333
rand,lu,5,0,2,512,64,79.22,20,45.534470588235294,33.685529411764705
spr,lu,1,2,0,512,80,74.24,20,41.2041610738255,33.03583892617449
pak,lu,1,2,0,512,80,68.73,20,40.849066666666666,27.88093333333334
rand,lu,1,2,0,512,80,77.68,20,45.534470588235294,32.14552941176471
spr,lu,2,1,0,512,80,69.1,20,41.2041610738255,27.89583892617449
pak,lu,2,1,0,512,80,67.56,20,40.849066666666666,26.710933333333337
rand,lu,2,1,0,512,80,68.94,20,45.534470588235294,23.405529411764704
spr,lu,3,0,0,512,80,68.06,20,41.2041610738255,26.8558389261745
pak,lu,3,0,0,512,80,68.12,20,40.849066666666666,27.27093333333334
rand,lu,3,0,0,512,80,68.14,20,45.534470588235294,22.605529411764707
spr,lu,4,0,1,512,80,67.7,20,41.2041610738255,26.4958389261745
pak,lu,4,0,1,512,80,67.97,20,40.849066666666666,27.120933333333333
