algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
spr,mg,1,2,0,512,64,89.85,16,48.99294964028777,40.857050359712225
pak,mg,1,2,0,512,64,66.23,16,45.263666666666666,20.96633333333334
rand,mg,1,2,0,512,64,95.43,16,50.6912,44.738800000000005
spr,mg,2,1,0,512,64,70.42,16,48.99294964028777,21.427050359712233
pak,mg,2,1,0,512,64,64.88,16,45.263666666666666,19.61633333333333
rand,mg,2,1,0,512,64,71.72,16,50.6912,21.028799999999997
spr,mg,3,0,0,512,64,66.13,16,48.99294964028777,17.137050359712227
pak,mg,3,0,0,512,64,63.8,16,45.263666666666666,18.53633333333333
rand,mg,3,0,0,512,64,66.37,16,50.6912,15.678800000000003
spr,mg,4,0,1,512,64,65.44,16,48.99294964028777,16.44705035971223
pak,mg,4,0,1,512,64,63.98,16,45.263666666666666,18.71633333333333
rand,mg,4,0,1,512,64,64.71,16,50.6912,14.018799999999992
spr,mg,5,0,2,512,64,64.92,16,48.99294964028777,15.927050359712233
pak,mg,5,0,2,512,64,63.57,16,45.263666666666666,18.306333333333335
rand,mg,5,0,2,512,64,64.54,16,50.6912,13.848800000000004
spr,mg,1,2,0,512,80,86.71,16,48.99294964028777,37.717050359712225
pak,mg,1,2,0,512,80,63.4,16,45.263666666666666,18.136333333333333
rand,mg,1,2,0,512,80,88.42,16,50.6912,37.7288
spr,mg,2,1,0,512,80,66.75,16,48.99294964028777,17.75705035971223
pak,mg,2,1,0,512,80,62.0,16,45.263666666666666,16.736333333333334
rand,mg,2,1,0,512,80,68.36,16,50.6912,17.668799999999997
spr,mg,3,0,0,512,80,62.22,16,48.99294964028777,13.22705035971223
pak,mg,3,0,0,512,80,60.85,16,45.263666666666666,15.586333333333336
rand,mg,3,0,0,512,80,62.07,16,50.6912,11.378799999999998
spr,mg,4,0,1,512,80,60.92,16,48.99294964028777,11.927050359712233
pak,mg,4,0,1,512,80,60.8,16,45.263666666666666,15.536333333333332
rand,mg,4,0,1,512,80,59.79,16,50.6912,9.098799999999997
spr,mg,5,0,2,512,80,60.96,16,48.99294964028777,11.967050359712232
pak,mg,5,0,2,512,80,60.82,16,45.263666666666666,15.556333333333335
rand,mg,5,0,2,512,80,60.08,16,50.6912,9.388799999999996
pak,mg,1,2,0,512,115,61.75,16,45.263666666666666,16.486333333333334
rand,mg,1,2,0,512,115,78.15,16,50.6912,27.458800000000004
spr,mg,2,1,0,512,115,65.8,16,48.99294964028777,16.80705035971223
pak,mg,2,1,0,512,115,61.63,16,45.263666666666666,16.366333333333337
rand,mg,2,1,0,512,115,66.83,16,50.6912,16.138799999999996
spr,mg,3,0,0,512,115,61.59,16,48.99294964028777,12.597050359712235
pak,mg,3,0,0,512,115,60.59,16,45.263666666666666,15.326333333333338
rand,mg,3,0,0,512,115,61.06,16,50.6912,10.3688
spr,mg,4,0,1,512,115,60.59,16,48.99294964028777,11.597050359712235
pak,mg,4,0,1,512,115,60.38,16,45.263666666666666,15.116333333333337
rand,mg,4,0,1,512,115,60.2,16,50.6912,9.5088
spr,mg,5,0,2,512,115,60.25,16,48.99294964028777,11.257050359712231
pak,mg,5,0,2,512,115,60.52,16,45.263666666666666,15.256333333333338
rand,mg,5,0,2,512,115,60.28,16,50.6912,9.588799999999999
spr,mg,1,2,0,512,64,99.66,20,48.99294964028777,50.66705035971223
pak,mg,1,2,0,512,64,83.14,20,45.263666666666666,37.876333333333335
rand,mg,1,2,0,512,64,96.11,20,50.6912,45.4188
spr,mg,2,1,0,512,64,83.72,20,48.99294964028777,34.72705035971223
pak,mg,2,1,0,512,64,78.99,20,45.263666666666666,33.72633333333333
rand,mg,2,1,0,512,64,84.15,20,50.6912,33.458800000000004
spr,mg,3,0,0,512,64,80.01,20,48.99294964028777,31.017050359712236
pak,mg,3,0,0,512,64,77.46,20,45.263666666666666,32.19633333333333
rand,mg,3,0,0,512,64,79.68,20,50.6912,28.988800000000005
spr,mg,4,0,1,512,64,78.41,20,48.99294964028777,29.417050359712228
pak,mg,4,0,1,512,64,77.32,20,45.263666666666666,32.05633333333333
rand,mg,4,0,1,512,64,78.38,20,50.6912,27.688799999999993
spr,mg,5,0,2,512,64,78.17,20,48.99294964028777,29.177050359712233
